match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside
47,23 June 2026 - Houston Stadium - 12:00,Portugal,Uzbekistan,home,56.1,9.8,5.0,2.03,17.0,9.0,639.0,577.0,90.0,135.0,19.0,179.0,24.0,43.0,197.0,43.0,37.0,67.0,110.2,1.65,11.65,70.0,31.0,107.0
47,23 June 2026 - Houston Stadium - 12:00,Uzbekistan,Portugal,away,34.0,9.8,0.0,0.44,7.0,2.0,347.0,278.0,80.0,63.0,3.0,63.0,8.0,21.0,338.0,44.0,49.0,61.0,109.6,1.7,18.43,145.0,58.0,198.0
48,23 June 2026 - Guadalajara Stadium - 20:00,Colombia,Congo DR,home,58.5,8.6,1.0,1.54,20.0,9.0,548.0,475.0,87.0,94.0,10.0,146.0,14.0,14.0,155.0,31.0,40.0,64.0,104.0,1.52,11.25,82.0,25.0,72.0
48,23 June 2026 - Guadalajara Stadium - 20:00,Congo DR,Colombia,away,32.9,8.6,0.0,0.42,7.0,1.0,315.0,236.0,75.0,51.0,6.0,56.0,13.0,10.0,300.0,47.0,40.0,59.0,106.0,1.59,18.82,124.0,35.0,195.0
49,24 June 2026 - Miami Stadium - 18:00,Scotland,Brazil,home,43.0,6.0,0.0,0.69,14.0,5.0,520.0,466.0,90.0,99.0,7.0,96.0,24.0,15.0,241.0,34.0,33.0,49.0,113.2,1.6,23.3,82.0,35.0,127.0
49,24 June 2026 - Miami Stadium - 18:00,Brazil,Scotland,away,51.1,6.0,3.0,3.78,21.0,9.0,615.0,571.0,93.0,108.0,9.0,139.0,13.0,20.0,227.0,24.0,28.0,53.0,110.7,1.59,19.24,120.0,38.0,136.0
50,24 June 2026 - Atlanta Stadium - 18:00,Morocco,Haiti,home,60.1,8.4,4.0,2.12,22.0,11.0,557.0,495.0,89.0,124.0,19.0,157.0,31.0,39.0,172.0,57.0,38.0,64.0,111.2,1.63,11.41,65.0,29.0,96.0
50,24 June 2026 - Atlanta Stadium - 18:00,Haiti,Morocco,away,31.5,8.4,2.0,0.65,9.0,2.0,265.0,212.0,80.0,49.0,3.0,40.0,3.0,32.0,331.0,50.0,50.0,59.0,107.5,1.46,15.41,146.0,44.0,216.0
51,24 June 2026 - BC Place Vancouver - 12:00,Switzerland,Canada,home,48.8,11.1,2.0,1.68,6.0,4.0,471.0,389.0,83.0,95.0,6.0,55.0,8.0,16.0,216.0,50.0,49.0,53.0,109.9,1.59,9.99,94.0,27.0,136.0
51,24 June 2026 - BC Place Vancouver - 12:00,Canada,Switzerland,away,40.1,11.1,1.0,1.61,13.0,7.0,353.0,275.0,78.0,87.0,7.0,103.0,26.0,21.0,299.0,44.0,50.0,64.0,114.6,1.38,14.55,141.0,54.0,177.0
