match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside,opp_passes,directness,verticality,cross_share,ppda_like,direct_press_share,press_inside_share
60,25 June 2026 - San Francisco Bay Area Stadium - 19:00,Paraguay,Australia,home,42.2,11.6,0.0,0.29,7.0,2.0,418.0,345.0,83.0,49.0,3.0,62.0,7.0,18.0,284.0,62.0,51.0,64.0,113.1,1.37,12.42,125.0,43.0,180.0,526.0,0.11722488038277512,0.14832535885167464,0.11290322580645161,1.852112676056338,0.21830985915492956,0.19282511210762332
60,25 June 2026 - San Francisco Bay Area Stadium - 19:00,Australia,Paraguay,away,46.2,11.6,0.0,0.7,12.0,5.0,526.0,446.0,85.0,86.0,4.0,109.0,13.0,30.0,210.0,33.0,43.0,93.0,116.4,1.46,13.1,97.0,33.0,119.0,418.0,0.1634980988593156,0.20722433460076045,0.11926605504587157,1.9904761904761905,0.15714285714285714,0.21710526315789475
61,26 June 2026 - Boston Stadium - 15:00,Norway,France,home,41.0,7.8,1.0,1.45,10.0,5.0,449.0,367.0,82.0,75.0,4.0,96.0,9.0,24.0,297.0,43.0,38.0,64.0,113.5,1.7,17.9,158.0,53.0,177.0,549.0,0.16703786191536749,0.21380846325167038,0.09375,1.8484848484848484,0.1447811447811448,0.23043478260869565
61,26 June 2026 - Boston Stadium - 15:00,France,Norway,away,51.2,7.8,4.0,1.05,18.0,9.0,549.0,492.0,90.0,98.0,21.0,184.0,16.0,28.0,234.0,45.0,43.0,68.0,109.1,1.46,12.7,97.0,45.0,128.0,449.0,0.1785063752276867,0.33515482695810567,0.08695652173913043,1.9188034188034189,0.19230769230769232,0.26011560693641617
62,26 June 2026 - Toronto Stadium - 15:00,Senegal,Iraq,home,58.6,10.7,5.0,2.7,27.0,11.0,585.0,523.0,89.0,107.0,17.0,240.0,29.0,40.0,162.0,23.0,38.0,71.0,111.9,1.83,9.02,72.0,31.0,93.0,280.0,0.1829059829059829,0.41025641025641024,0.12083333333333333,1.728395061728395,0.1419753086419753,0.25
62,26 June 2026 - Toronto Stadium - 15:00,Iraq,Senegal,away,30.7,10.7,0.0,0.21,6.0,1.0,280.0,200.0,71.0,52.0,4.0,41.0,5.0,17.0,259.0,48.0,43.0,53.0,104.7,1.56,18.07,118.0,34.0,164.0,585.0,0.18571428571428572,0.14642857142857144,0.12195121951219512,2.258687258687259,0.18532818532818532,0.1717171717171717
63,26 June 2026 - Seattle Stadium - 20:00,Egypt,IR Iran,home,53.7,9.9,1.0,0.92,15.0,3.0,588.0,525.0,89.0,97.0,15.0,123.0,16.0,30.0,169.0,30.0,52.0,76.0,117.2,1.57,12.21,64.0,24.0,99.0,359.0,0.1649659863945578,0.20918367346938777,0.13008130081300814,2.1242603550295858,0.17751479289940827,0.1951219512195122
63,26 June 2026 - Seattle Stadium - 20:00,IR Iran,Egypt,away,36.4,9.9,1.0,2.24,13.0,3.0,359.0,280.0,78.0,73.0,5.0,87.0,11.0,21.0,278.0,45.0,43.0,78.0,118.8,1.65,16.49,139.0,40.0,150.0,588.0,0.20334261838440112,0.24233983286908078,0.12643678160919541,2.115107913669065,0.1618705035971223,0.21052631578947367
64,26 June 2026 - BC Place Vancouver - 20:00,New Zealand,Belgium,home,40.5,9.4,1.0,0.3,6.0,2.0,450.0,379.0,84.0,82.0,5.0,77.0,13.0,17.0,321.0,51.0,32.0,50.0,117.6,1.75,19.02,122.0,37.0,204.0,530.0,0.18222222222222223,0.1711111111111111,0.16883116883116883,1.6510903426791277,0.1588785046728972,0.15352697095435686
64,26 June 2026 - BC Place Vancouver - 20:00,Belgium,New Zealand,away,50.1,9.4,5.0,3.99,35.0,10.0,530.0,475.0,90.0,118.0,18.0,203.0,25.0,38.0,249.0,32.0,44.0,82.0,119.8,1.4,16.28,127.0,32.0,153.0,450.0,0.22264150943396227,0.38301886792452833,0.12315270935960591,1.8072289156626506,0.1285140562248996,0.17297297297297298
65,26 June 2026 - Houston Stadium - 19:00,Cabo Verde,Saudi Arabia,home,48.0,10.2,0.0,1.37,15.0,2.0,465.0,402.0,86.0,113.0,12.0,133.0,21.0,36.0,206.0,34.0,53.0,83.0,115.5,1.49,12.18,78.0,25.0,126.0,455.0,0.24301075268817204,0.2860215053763441,0.15789473684210525,2.20873786407767,0.1650485436893204,0.16556291390728478
65,26 June 2026 - Houston Stadium - 19:00,Saudi Arabia,Cabo Verde,away,41.9,10.2,0.0,0.35,7.0,3.0,455.0,370.0,81.0,76.0,11.0,95.0,12.0,21.0,304.0,66.0,42.0,67.0,113.9,1.67,13.5,156.0,50.0,171.0,465.0,0.16703296703296702,0.2087912087912088,0.12631578947368421,1.5296052631578947,0.21710526315789475,0.22624434389140272
66,26 June 2026 - Guadalajara Stadium - 18:00,Uruguay,Spain,home,33.4,9.5,0.0,0.22,5.0,1.0,305.0,241.0,79.0,68.0,15.0,94.0,18.0,24.0,390.0,64.0,53.0,67.0,113.8,1.44,16.65,211.0,65.0,231.0,637.0,0.22295081967213115,0.3081967213114754,0.19148936170212766,1.6333333333333333,0.1641025641025641,0.2195945945945946
66,26 June 2026 - Guadalajara Stadium - 18:00,Spain,Uruguay,away,57.1,9.5,1.0,1.12,6.0,1.0,637.0,570.0,89.0,134.0,10.0,89.0,15.0,37.0,215.0,35.0,49.0,65.0,111.2,1.66,12.93,75.0,30.0,134.0,305.0,0.21036106750392464,0.13971742543171115,0.16853932584269662,1.4186046511627908,0.16279069767441862,0.18292682926829268
67,27 June 2026 - New York/New Jersey Stadium - 17:00,Panama,England,home,33.1,9.2,0.0,0.72,13.0,2.0,306.0,231.0,75.0,84.0,5.0,48.0,10.0,22.0,283.0,55.0,55.0,57.0,111.3,1.47,17.39,128.0,46.0,176.0,562.0,0.27450980392156865,0.1568627450980392,0.20833333333333334,1.9858657243816253,0.19434628975265017,0.2072072072072072
67,27 June 2026 - New York/New Jersey Stadium - 17:00,England,Panama,away,57.7,9.2,2.0,1.61,17.0,6.0,562.0,500.0,89.0,114.0,30.0,177.0,29.0,25.0,228.0,46.0,44.0,72.0,115.2,1.74,8.71,93.0,39.0,136.0,306.0,0.20284697508896798,0.31494661921708184,0.1638418079096045,1.3421052631578947,0.20175438596491227,0.22285714285714286
68,27 June 2026 - Philadelphia Stadium - 17:00,Croatia,Ghana,home,50.8,6.1,2.0,0.48,8.0,4.0,538.0,487.0,91.0,84.0,8.0,82.0,15.0,27.0,189.0,30.0,32.0,52.0,110.5,1.47,18.7,80.0,39.0,99.0,466.0,0.15613382899628253,0.1524163568773234,0.18292682926829268,2.4656084656084656,0.15873015873015872,0.2826086956521739
68,27 June 2026 - Philadelphia Stadium - 17:00,Ghana,Croatia,away,43.1,6.1,1.0,0.75,6.0,1.0,466.0,411.0,88.0,50.0,5.0,60.0,11.0,27.0,271.0,36.0,40.0,47.0,106.4,1.67,22.44,144.0,31.0,179.0,538.0,0.1072961373390558,0.12875536480686695,0.18333333333333332,1.985239852398524,0.13284132841328414,0.14761904761904762
69,27 June 2026 - Kansas City Stadium - 21:00,Algeria,Austria,home,60.7,5.3,3.0,1.54,12.0,5.0,775.0,723.0,93.0,96.0,7.0,137.0,4.0,26.0,218.0,30.0,39.0,47.0,105.2,1.61,16.78,100.0,37.0,134.0,405.0,0.12387096774193548,0.1767741935483871,0.029197080291970802,1.8577981651376148,0.13761467889908258,0.21637426900584794
69,27 June 2026 - Kansas City Stadium - 21:00,Austria,Algeria,away,33.9,5.3,3.0,1.06,10.0,3.0,405.0,355.0,88.0,70.0,10.0,93.0,13.0,10.0,305.0,40.0,24.0,56.0,113.3,1.45,28.58,151.0,46.0,189.0,775.0,0.1728395061728395,0.22962962962962963,0.13978494623655913,2.540983606557377,0.13114754098360656,0.19574468085106383
